Title,Score
Ongaku,7.59
Persona 3 the Movie 3: Falling Down,7.59
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna,7.59
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA,7.58
Kidou Butouden G Gundam,7.58
Love Live! Sunshine!! 2nd Season,7.58
Majin Tantei Nougami Neuro,7.58
Ranma ½: Yomigaeru Kioku,7.58
Romeo x Juliet,7.58
Saint Seiya: Meiou Hades Elysion-hen,7.58
Akiba Meido Sensou,7.58
Akudama Drive,7.58
Ao no Exorcist Movie,7.58
Arknights: Touin Kiro,7.58
BanG Dream! 2nd Season,7.58
Birdie Wing: Golf Girls' Story Season 2,7.58
Black Jack (TV),7.58
Boku no Hero Academia the Movie 3: World Heroes' Mission,7.58
Code Geass: Hangyaku no Lelouch Special Edition - Black Rebellion,7.58
Date A Bullet: Dead or Bullet,7.58
Diamond no Ace OVA,7.58
Doraemon Movie 26: Nobita no Kyouryuu 2006,7.58
Hakuouki: Sekkaroku,7.58
Hibike! Euphonium Movie 1: Kitauji Koukou Suisougaku-bu e Youkoso,7.58
Hourou Musuko Specials,7.58
Initial D Battle Stage,7.58
Initial D: Project D to the Next Stage - Project D e Mukete,7.58
Sword Art Online: Alicization - War of Underworld,7.58
Wonder Egg Priority,7.58
World Trigger,7.58
Yowamushi Pedal: Glory Line,7.58
Shoushimin Series,7.57
Strike Witches Movie,7.57
Sword Art Online: Alicization,7.57
Tada-kun wa Koi wo Shinai,7.57
Tianbao Fuyao Lu,7.57
Towa no Quon 6: Towa no Quon,7.57
Tsubasa Chronicle 2nd Season,7.57
Uchuu Kyoudai: Number Zero,7.57
Ushio to Tora (TV),7.57
Watashi no Shiawase na Kekkon: Watashi no Shiawase na Katachi,7.57
Yume-iro Pâtissière SP Professional,7.57
Yuru Camp△ Specials,7.57
Majo Minarai wo Sagashite,7.57
Momo e no Tegami,7.57
Naruto: Shippuuden - Sunny Side Battle,7.57
Radiant 2nd Season,7.57
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow,7.57
Senpai ga Uzai Kouhai no Hanashi,7.57
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.57
Ajin Part 2,7.57
Ao Haru Ride OVA,7.57
Bishoujo Senshi Sailor Moon Eternal Movie 1,7.57
Candy Candy,7.57
COLORs,7.57
Dragon Ball Z Special 1: Tatta Hitori no Saishuu Kessen,7.57
Dragon Quest: Dai no Daibouken (TV),7.57
Fairy Tail,7.57
Fukigen na Mononokean Tsuzuki,7.57
Full Metal Panic! Invisible Victory,7.57
Ga-Rei: Zero,7.57
GetBackers,7.57
Gokushufudou Season 2,7.57
Hakumei to Mikochi: Neji to Bed to Irori to Bakuchi,7.57
Aa! Megami-sama! Tatakau Tsubasa,7.56
Arakawa Under the Bridge,7.56
Baka to Test to Shoukanjuu: Matsuri,7.56
Byousoku 5 Centimeter,7.56
Dragon Ball Super: Super Hero,7.56
Free! Dive to the Future - Soushun no Build-up!,7.56
Hakuouki: Hekketsuroku,7.56
Heya Camp△: Sauna to Gohan to Sanrin Bike,7.56
Higashi no Eden Movie II: Paradise Lost,7.56
Higashi no Eden: Air Communication,7.56
Hokuto no Ken 2,7.56
InuYasha Movie 1: Toki wo Koeru Omoi,7.56
Isekai Nonbiri Nouka,7.56
Shixiong A Shixiong,7.56
Shouwa Genroku Rakugo Shinjuu: Yotarou Hourou-hen,7.56
Shuumatsu no Walküre II Part 2,7.56
Sword Art Online Movie: Ordinal Scale,7.56
Tales of Vesperia: The First Strike,7.56
Tamayura: More Aggressive,7.56
Yama no Susume Second Season,7.56
"Yondemasu yo, Azazel-san.",7.56
Yowamushi Pedal Movie,7.56
Yuru Yuri,7.56
Kara no Kyoukai Movie 1: Fukan Fuukei,7.56
Kiniro Mosaic: Thank You!!,7.56
Koutetsujou no Kabaneri Movie 1: Tsudou Hikari,7.56
Koutetsujou no Kabaneri Movie 2: Moeru Inochi,7.56
Kubo-san wa Mob wo Yurusanai,7.56
Log Horizon 2nd Season,7.56
Mahoutsukai no Yome: Nishi no Shounen to Seiran no Kishi,7.56
Majo no Tabitabi,7.56
Meitantei Conan: Kuro no Soshiki to Taiketsu no Rekishi,7.56
MF Ghost,7.56
Nanatsu no Taizai: Imashime no Fukkatsu,7.56
New Game!,7.56
Nisekoi,7.56
No.6,7.56
Noein: Mou Hitori no Kimi e,7.56
One Piece: Episode of Luffy - Hand Island no Bouken,7.56
Ore wo Suki nano wa Omae dake ka yo: Oretachi no Game Set,7.56
Pokemon: Mezase Pokemon Master,7.56
Runway de Waratte,7.56
Saijaku Tamer wa Gomi Hiroi no Tabi wo Hajimemashita.,7.56
Sengoku Basara Movie: The Last Party,7.56
Senjou no Valkyria,7.56
Shen Lan Qi Yu Wushuang Zhu: Tianmo Pian,7.56
K: Return of Kings,7.55
Kami no Tou,7.55
Kidou Keisatsu Patlabor the Movie,7.55
Kidou Keisatsu Patlabor: New OVA,7.55
Kino no Tabi: The Beautiful World - Tou no Kuni - Free Lance,7.55
Kitarou Tanjou: Gegege no Nazo,7.55
Konjiki no Gash Bell!!,7.55
Madogiwa no Totto-chan,7.55
Mahou Sensei Negima!: Mou Hitotsu no Sekai,7.55
Modern Love Tokyo: Kare ga Kanaderu Futari no Shirabe,7.55
Moyashimon,7.55
Nodame Cantabile Finale OVA,7.55
Penguin Highway,7.55
Planetarian: Chiisana Hoshi no Yume,7.55
Pokemon (2019),7.55
Pretty Rhythm: Rainbow Live,7.55
Re:Creators,7.55
Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,7.55
Sakamoto desu ga?,7.55
Sand Land: The Series,7.55
Seitokai Yakuindomo,7.55
Shakugan no Shana II (Second),7.55
Angel Beats! Specials,7.55
Baki: Dai Raitaisai-hen,7.55
Biao Ren: Blades of the Guardians,7.55
Chiyu Mahou no Machigatta Tsukaikata,7.55
Chuunibyou demo Koi ga Shitai! Ren,7.55
Deaimon,7.55
Durarara!!x2 Ketsu: Dufufufu!!,7.55
Fairy Tail Movie 2: Dragon Cry,7.55
Gugure! Kokkuri-san,7.55
Hataraku Saibou,7.55
Hokuto no Ken: Raoh Gaiden Gekitou-hen,7.55
InuYasha Movie 4: Guren no Houraijima,7.55
Shoukoku no Altair,7.55
Totsukuni no Shoujo,7.55
Totsukuni no Shoujo (2022),7.55
Tsurezure Children,7.55
UFO Robo Grendizer,7.55
Utawarerumono Specials,7.55
Shin Tennis no Oujisama,7.54
Shingeki no Kyojin: The Final Season Specials,7.54
Shounen Onmyouji,7.54
Sora no Otoshimono: Tokeijikake no Angeloid,7.54
To LOVE-Ru Darkness 2nd Specials,7.54
Uchuu Senkan Yamato,7.54
Watashi ni Tenshi ga Maiorita! Precious Friends,7.54
Xiuluo Wu Shen,7.54
Yamada-kun to 7-nin no Majo,7.54
"Yondemasu yo, Azazel-san. Z",7.54
Zhen Hun Jie,7.54
Kaitou Saint Tail,7.54
Kakuriyo no Yadomeshi,7.54
Kara no Kyoukai Remix: Gate of Seventh Heaven,7.54
Kui Cheng Shoufu Cong Youxi Kaishi,7.54
"Lupin III: Episode 0 ""First Contact""",7.54
Megami no Café Terrace 2nd Season,7.54
Minami-ke Okaeri,7.54
Mutsu Enmei Ryuu Gaiden: Shura no Toki,7.54
Nijuu Mensou no Musume,7.54
Perrine Monogatari,7.54
Ragna Crimson,7.54
Aa! Megami-sama! Movie,7.54
Aa! Megami-sama! Sorezore no Tsubasa,7.54
Afro Samurai Movie,7.54
Aikatsu! Movie,7.54
Basilisk: Kouga Ninpou Chou,7.54
Bishoujo Senshi Sailor Moon SuperS: Sailor 9 Senshi Shuuketsu! Black Dream Hole no Kiseki,7.54
Boku no Hero Academia the Movie 1: Futari no Hero,7.54
Da Wang Rao Ming,7.54
Darker than Black: Kuro no Keiyakusha - Sakura no Hana no Mankai no Shita,7.54
Di Yi Xulie,7.54
Doraemon Movie 33: Nobita no Himitsu Dougu Museum,7.54
Doraemon Movie 40: Nobita no Shin Kyouryuu,7.54
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,7.54
Garo Movie: Divine Flame,7.54
Gensoumaden Saiyuuki,7.54
Ginga Tetsudou 999 (Movie),7.54
Gokushufudou Part 2,7.54
Higashi no Eden Movie I: The King of Eden,7.54
Hinomaruzumou,7.54
Hungry Heart: Wild Striker,7.54
Jigoku Sensei Nube,7.54
Amaama to Inazuma,7.53
Black Jack 21,7.53
Demi-chan wa Kataritai,7.53
Dragon Ball Kai: Mirai ni Heiwa wo! Goku no Tamashii yo Eien ni,7.53
Fanren Xiu Xian Chuan: Yan Jia Bao Dazhan,7.53
Giant Killing,7.53
Hanhua Riji 2nd Season,7.53
Inu x Boku SS: Miketsukami-kun Henka/Switch/Omamagoto,7.53
Slam Dunk: Shouhoku Saidai no Kiki! Moero Sakuragi Hanamichi,7.53
So Ra No Wo To,7.53
Star☆Twinkle Precure,7.53
Taiho Shichau zo (TV),7.53
Tensei shitara Ken deshita,7.53
The Big O,7.53
To LOVE-Ru Darkness OVA,7.53
Tonari no Seki-kun,7.53
Uchuu Patrol Luluco,7.53
Wakakusa Monogatari: Nan to Jo-sensei,7.53
Yuuki Yuuna wa Yuusha de Aru: Washio Sumi no Shou 1 - Tomodachi,7.53
Kanojo ga Koushaku-tei ni Itta Riyuu,7.53
"Katekyou Hitman Reborn! Vongola Family Soutoujou! Vongola Shiki Shuugakuryokou, Kuru!!",7.53
Kidou Senshi Gundam 00 Special Edition,7.53
Kindaichi Shounen no Jikenbo Returns,7.53
Koukyuu no Karasu,7.53
Kuroko no Basket: Baka ja Katenai no yo!,7.53
Mashiro no Oto,7.53
Mitsudomoe: Oppai Ippai Mama Genki,7.53
Net-juu no Susume,7.53
Nobunaga Concerto,7.53
Patapata Hikousen no Bouken,7.53
Persona 3 the Movie 1: Spring of Birth,7.53
Princess Principal: Crown Handler Movie 1,7.53
Re:Zero kara Hajimeru Isekai Seikatsu - Hyouketsu no Kizuna - Manner Movie,7.53
Karakai Jouzu no Takagi-san: Water Slide,7.52
Kemono Friends,7.52
Kimagure Orange☆Road,7.52
"Kuroshitsuji: Sono Shitsuji, Kougyou",7.52
Mahou Shoujo Lyrical Nanoha: Detonation,7.52
Metropolis,7.52
Mitsudomoe,7.52
Mushoku Tensei II: Isekai Ittara Honki Dasu - Shugo Jutsushi Fitz,7.52
One Piece Movie 04: Dead End no Bouken,7.52
One Punch Man 2nd Season,7.52
Over Drive,7.52
R.O.D: The TV,7.52
Saki Achiga-hen: Episode of Side-A Specials,7.52
Asobi Asobase: Cosplay Taikai/Otona no Watashi e,7.52
Cike Wu Liuqi Fanwai,7.52
Drifters (OVA),7.52
Durarara!!x2 Ten: Onoroke Chakapoko,7.52
Fugou Keiji: Balance:Unlimited,7.52
Girls & Panzer,7.52
Haikyuu!! Tokushuu! Haru-kou Volley ni Kaketa Seishun,7.52
Hakumei no Tsubasa,7.52
Hataraku Saibou Black,7.52
Hidamari Sketch Specials,7.52
Irozuku Sekai no Ashita kara,7.52
Isshuukan Friends.,7.52
Itai no wa Iya nanode Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,7.52
Jijou wo Shiranai Tenkousei ga Guigui Kuru.,7.52
Shoubushi Densetsu Tetsuya,7.52
So Ra No Wo To Specials,7.52
Toaru Majutsu no Index II,7.52
Un-Go: Inga-ron,7.52
Xingchen Bian,7.52
Shiroi Suna no Aquatope,7.51
Slam Dunk: Zenkoku Seiha Da! - Sakuragi Hanamichi,7.51
Tiger & Bunny 2 Part 2,7.51
To LOVE-Ru Darkness 2nd OVA,7.51
Toriko,7.51
Towa no Quon 4: Guren no Shoushin,7.51
Tsubasa Chronicle,7.51
Uchuu Senkan Yamato 2205: Aratanaru Tabidachi,7.51
Utawarerumono: Futari no Hakuoro,7.51
Wushen Zhuzai,7.51
Yao Shen Ji 3rd Season,7.51
"Yondemasu yo, Azazel-san. (TV)",7.51
Yu☆Gi☆Oh! The Dark Side of Dimensions,7.51
Zhu Xian,7.51
Kagami no Kojou,7.51
Kiniro Mosaic: Pretty Days,7.51
NieR:Automata Ver1.1a,7.51
Oban Star-Racers,7.51
Overtake!,7.51
Persona 4 the Animation,7.51
Poputepipikku 2nd Season,7.51
Precure All Stars Movie DX3: Mirai ni Todoke! Sekai wo Tsunagu☆Nijiiro no Hana,7.51
Re:Zero kara Hajimeru Isekai Seikatsu - Memory Snow - Manner Movie,7.51
Baka to Test to Shoukanjuu,7.51
Casshern Sins,7.51
Final Fantasy VII: Advent Children - Venice Film Festival Footage,7.51
Fullmetal Alchemist: The Conqueror of Shamballa,7.51
Fushigi no Umi no Nadia,7.51
Golden Kamuy 2nd Season OVA,7.51
Golgo 13 (TV),7.51
Hayate no Gotoku!,7.51
Hello! Lady Lynn,7.51
Heroic Age,7.51
Hoozuki no Reitetsu 2nd Season OVA,7.51
Hoshi wo Ou Kodomo,7.51
Huyao Xiao Hongniang: Wangquan Fugui,7.51
Aa! Megami-sama! (TV) Specials,7.5
Arslan Senki (TV): Fuujin Ranbu,7.5
Bakuten!!,7.5
Birdie Wing: Golf Girls' Story,7.5
Bleach Movie 3: Fade to Black - Kimi no Na wo Yobu,7.5
City Hunter: Goodbye My Sweetheart,7.5
D-Frag!,7.5
Densetsu no Yuusha no Densetsu,7.5
"Donten ni Warau Gaiden: Shukumei, Soutou no Fuuma",7.5
Ensemble Stars!! Tsuioku Selection Element,7.5
Flying Witch,7.5
Hello World,7.5
Hybrid Child,7.5
Ike! Ina-chuu Takkyuu-bu,7.5
Initial D Battle Stage 3,7.5
Shion no Ou,7.5
Shuumatsu no Walküre II,7.5
Special A,7.5
"Tensei shitara Dainana Ouji Datta node, Kimama ni Majutsu wo Kiwamemasu",7.5
Voy@ger,7.5
Wakaokami wa Shougakusei! Movie,7.5
Yao Shen Ji 5th Season,7.5
Zombieland Saga,7.5
Kappa no Coo to Natsuyasumi,7.5
"Loop 7-kaime no Akuyaku Reijou wa, Moto Tekikoku de Jiyuu Kimama na Hanayome Seikatsu wo Mankitsu suru",7.5
Lord El-Melloi II Sei no Jikenbo: Rail Zeppelin Grace Note Special,7.5
Meitantei Conan Magic File 2: Kudou Shinichi Nazo no Kabe to Kuro Lab Jiken,7.5
Ojiisan no Lamp,7.5
Sengoku Basara Ni,7.5
Shakugan no Shana III (Final),7.5
Kidou Senkan Nadesico,7.49
Kono Subarashii Sekai ni Bakuen wo!,7.49
Ling Qi 2,7.49
Love Live! Nijigasaki Gakuen School Idol Doukoukai,7.49
Macross Zero,7.49
Magic Knight Rayearth II,7.49
Meitantei Conan OVA 04: Conan to Kid to Crystal Mother,7.49
Minami-ke Betsubara,7.49
Nanatsu no Taizai OVA,7.49
Nanbaka 2,7.49
Ningen Shikkaku: Director's Cut-ban,7.49
One Piece: Heart of Gold,7.49
Owari no Seraph,7.49
PriPara,7.49
Ryuu to Sobakasu no Hime,7.49
Aa! Megami-sama! Sorezore no Tsubasa Specials,7.49
Bai Yao Pu 2nd Season,7.49
Bobobo-bo Bo-bobo,7.49
Charlotte: Tsuyoimono-tachi,7.49
Chuunibyou demo Koi ga Shitai! Kirameki no... Slapstick Noel,7.49
Denpa-teki na Kanojo,7.49
Doraemon Movie 28: Nobita to Midori no Kyojin Den,7.49
Fantastic Children,7.49
Fate/kaleid liner Prisma☆Illya 3rei!!,7.49
Gintama: Monster Strike-hen,7.49
Gochuumon wa Usagi desu ka?,7.49
Grappler Baki: Saidai Tournament-hen,7.49
Hello!! Kiniro Mosaic,7.49
Hellsing,7.49
Heppoko Jikken Animation Excel♥Saga,7.49
Hibike! Euphonium: Kakedasu Monaka,7.49
Jiisan Baasan Wakagaeru,7.49
Shin Tennis no Oujisama Specials,7.49
Shine Post,7.49
Sugar Sugar Rune,7.49
Sword Art Online: Alicization - War of Underworld 2nd Season,7.49
Tasogare Otome x Amnesia: Taima Otome,7.49
Tensei shitara Slime Datta Ken OVA,7.49
Yong Sheng: Shi Nian Zhi Yue,7.49
Yu☆Gi☆Oh! Duel Monsters,7.49
Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,7.48
Shinseiki Evangelion Movie: Shi to Shinsei,7.48
Shounan Bakusouzoku,7.48
Sora no Aosa wo Shiru Hito yo,7.48
Tensei Oujo to Tensai Reijou no Mahou Kakumei,7.48
Towa no Quon 5: Souzetsu no Raifuku,7.48
Wangan Midnight,7.48
Xian Wang de Richang Shenghuo 4,7.48
Yawara!,7.48
Zipang,7.48
JoJo no Kimyou na Bouken,7.48
Kaichou wa Maid-sama!: Omake da yo!,7.48
Koi wa Ameagari no You ni,7.48
Konohana Kitan,7.48
Kore wa Zombie desu ka? of the Dead,7.48
Little Busters!,7.48
Meitantei Conan Magic File 4: Osaka Okonomiyaki Odyssey,7.48
Persona 4 the Animation: No One is Alone,7.48
Ranma ½: Akumu! Shunmin Kou,7.48
Air Gear,7.48
Ani ni Tsukeru Kusuri wa Nai!,7.48
Ao no Exorcist,7.48
Area 88,7.48
Bai Yao Pu 4th Season,7.48
Be-Bop Highschool,7.48
Boku ga Aishita Subete no Kimi e,7.48
Boku ga Aishita Subete no Kimi e,7.48
Boukyaku Battery (TV),7.48
Da Yu Hai Tang (Movie),7.48
Demi-chan wa Kataritai: Demi-chan no Natsuyasumi,7.48
Doraemon Movie 37: Nobita no Nankyoku Kachikochi Daibouken,7.48
Futari-bun no Shoumei,7.48
"Haikara-san ga Tooru Movie 1: Benio, Hana no 17-sai",7.48
Hitoribocchi no Marumaru Seikatsu,7.48
"Ijiranaide, Nagatoro-san 2nd Attack",7.48
Acchi Kocchi,7.47
Akame ga Kill!,7.47
Another,7.47
Bai She: Yuan Qi,7.47
Benghuai: Xing Qiong Tiedao - Fei Guang,7.47
City Hunter Movie: Shinjuku Private Eyes,7.47
Dead Mount Death Play Part 2,7.47
Donten ni Warau,7.47
Elfen Lied,7.47
Fate/stay night: Unlimited Blade Works 2nd Season - Sunny Day,7.47
Grisaia no Kajitsu,7.47
Gundam Build Divers Re:Rise 2nd Season,7.47
High School DxD New,7.47
Hokuto no Ken Zero: Kenshirou Den,7.47
Isekai Izakaya: Koto Aitheria no Izakaya Nobu,7.47
Isekai Quartet Movie: Another World,7.47
Jashin-chan Dropkick',7.47
Shinryaku!! Ika Musume,7.47
Shinryaku!? Ika Musume,7.47
"Suteki desu wa, Sakura-chan! Tomoyo no Cardcaptor Sakura Katsuyaku Video Nikki!",7.47
Tanoshii Muumin Ikka Bouken Nikki,7.47
Wanneng Lian Ai Zahuo Dian,7.47
Xingchen Bian: Xingchen Yao Hai,7.47
Xue Ying Ling Zhu 2nd Season,7.47
Yong Sheng,7.47
Junjou Romantica,7.47
Kamisama no Memochou,7.47
Koukaku Kidoutai Arise: Ghost in the Shell - Border:2 Ghost Whispers,7.47
Kyoukaisenjou no Horizon II,7.47
Ling Long: Incarnation Part 2,7.47
Major 2nd 2nd Season,7.47
"Momoko, Kaeru no Uta ga Kikoeru yo.",7.47
Pokemon Generations,7.47
Psycho-Pass: Sinners of the System Case.2 - First Guardian,7.47
Saenai Heroine no Sodatekata,7.47
Saint☆Oniisan,7.47
Sarazanmai,7.47
Sekaiichi Hatsukoi: Propose-hen,7.47
Juan Siliang,7.46
Kaleido Star: Aratanaru Tsubasa - Extra Stage,7.46
Kamikaze Kaitou Jeanne,7.46
Kamonohashi Ron no Kindan Suiri,7.46
Madang-eul Naon Amtalg,7.46
Mahouka Koukou no Rettousei Movie: Hoshi wo Yobu Shoujo,7.46
Meng Qi Shi Shen: Huanxi Zhui Hun,7.46
Miira no Kaikata,7.46
Naruto: Shippuuden Movie 5 - Blood Prison,7.46
Oemojisangjuui,7.46
Orange: Mirai,7.46
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,7.46
Ouritsu Uchuugun: Honneamise no Tsubasa,7.46
Oushitsu Kyoushi Heine,7.46
Sayonara Zetsubou Sensei Special,7.46
Senki Zesshou Symphogear G,7.46
Shen Lan Qi Yu Wushuang Zhu,7.46
Acchi Kocchi: Place=Princess,7.46
Aikatsu!,7.46
Amagi Brilliant Park,7.46
Angel Densetsu,7.46
Bai She II: Qing She Jie Qi,7.46
Boku no Hero Academia the Movie 2: Heroes:Rising - Epilogue Plus - Yume wo Genjitsu ni,7.46
Burn the Witch #0.8,7.46
Crayon Shin-chan Movie 18: Chou Jikuu! Arashi wo Yobu Ora no Hanayome,7.46
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,7.46
Fairy Tail OVA,7.46
Fullmetal Alchemist: Brotherhood - 4-koma Gekijou,7.46
Furiko,7.46
Grappler Baki (TV),7.46
Hidamari Sketch,7.46
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen OVA,7.46
Itsudatte Bokura no Koi wa 10 cm Datta.,7.46
Shokugeki no Souma: Ni no Sara OVA,7.46
Sugar Apple Fairy Tale,7.46
Tonari no Kaibutsu-kun,7.46
Waga Seishun no Arcadia,7.46
Youjo Senki: Sabaku no Pasta Daisakusen,7.46
Yowamushi Pedal: Spare Bike,7.46
Yu☆Gi☆Oh! 5D's,7.46
Yuru Camp△ Season 2 Specials,7.46
Zettai Karen Children: The Unlimited - Hyoubu Kyousuke,7.46
Shigofumi,7.45
Shokugeki no Souma: San no Sara - Kyokuseiryou no Erina,7.45
Sidonia no Kishi: Ai Tsumugu Hoshi,7.45
Soredemo Machi wa Mawatteiru,7.45
Suisei no Gargantia,7.45
Suzumiya Haruhi-chan no Yuuutsu,7.45
Taiho Shichau zo,7.45
Tennis no Oujisama: Another Story II - Ano Toki no Bokura,7.45
The iDOLM@STER: 765 Pro to Iu Monogatari,7.45
Vinland Saga Season 2: Drowning in the Shadow,7.45
Xiao Lu He Xiao Lan,7.45
Yozakura Quartet: Hana no Uta,7.45
Yozakura Quartet: Tsuki ni Naku,7.45
Kara no Kyoukai Movie 6: Boukyaku Rokuon,7.45
Kara no Kyoukai Movie: Mirai Fukuin - Extra Chorus,7.45
Kishuku Gakkou no Juliet,7.45
"Kumo desu ga, Nani ka?",7.45
Kyuuketsuki Sugu Shinu 2,7.45
Magic Knight Rayearth,7.45
Paniponi Dash!: Danjite Okonaeba Kishin mo Kore wo Saku,7.45
Saki,7.45
Senki Zesshou Symphogear GX,7.45
Angel Beats! Another Epilogue,7.45
Captain Tsubasa: Road to 2002,7.45
Carnival Phantasm EX Season,7.45
Chio-chan no Tsuugakuro,7.45
Code Geass: Boukoku no Akito 2 - Hikisakareshi Yokuryuu,7.45
Crayon Shin-chan Movie 10: Arashi wo Yobu Appare! Sengoku Daikassen,7.45
Do It Yourself!!,7.45
Dragon Ball Super,7.45
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Movie: Orion no Ya,7.45
Future GPX Cyber Formula Sin,7.45
Hanbun no Tsuki ga Noboru Sora,7.45
Hime-chan no Ribbon,7.45
Hokuto no Ken: Raoh Gaiden Junai-hen,7.45
Aggressive Retsuko (ONA) 5th Season,7.44
Aishiteruze Baby★★,7.44
Chuunibyou demo Koi ga Shitai! Ren: The Rikka Wars,7.44
Days: Touin Gakuen-sen!,7.44
Digimon Adventure tri. 2: Ketsui,7.44
Doraemon Movie 15: Nobita to Mugen Sankenshi,7.44
Gabriel DropOut,7.44
Genjitsu Shugi Yuusha no Oukoku Saikenki Part 2,7.44
"Goodbye, Don Glees!",7.44
Haha wo Tazunete Sanzenri,7.44
Hetalia World Series,7.44
Hetalia: The Beautiful World Specials,7.44
Inazuma Eleven Go: Kyuukyoku no Kizuna Gryphon,7.44
Shuumatsu Train Doko e Iku?,7.44
Super Cub,7.44
Tales of Symphonia The Animation: Tethe'alla-hen,7.44
Toaru Kagaku no Railgun: Misaka-san wa Ima Chuumoku no Mato desu kara,7.44
Tonari no Seki-kun Specials,7.44
Urusei Yatsura Movie 5: Kanketsu-hen,7.44
Wu Dong Qian Kun,7.44
Joshiraku,7.44
Kamichu! Specials,7.44
Kengan Ashura,7.44
Kin no Kuni Mizu no Kuni,7.44
Lady Jewelpet,7.44
Lady Lady!!,7.44
Mahoutsukai Precure! Movie: Kiseki no Henshin! Cure Mofurun!,7.44
Mini Dragon Specials,7.44
Motto! Ojamajo Doremi,7.44
Ojamajo Doremi Sharp,7.44
Omoide Poroporo,7.44
"One Piece Movie 09: Episode of Chopper Plus - Fuyu ni Saku, Kiseki no Sakura",7.44
Psycho-Pass 3,7.44
Shakugan no Shana,7.44
K,7.43
K: Seven Stories Movie 4 - Lost Small World - Ori no Mukou ni,7.43
Kiniro no Corda: Primo Passo - Hitonatsu no Encore,7.43
Koukaku Kidoutai Arise: Ghost in the Shell - Border:1 Ghost Pain,7.43
Koukaku Kidoutai Arise: Ghost in the Shell - Border:4 Ghost Stands Alone,7.43
Koukaku Kidoutai: Shin Movie,7.43
"Kumo no Mukou, Yakusoku no Basho",7.43
Mahou Shoujo Lyrical Nanoha: Reflection,7.43
Marmalade Boy,7.43
Meitantei Conan Movie 11: Konpeki no Jolly Roger,7.43
New Initial D Movie: Battle Digest,7.43
Nozomanu Fushi no Boukensha,7.43
Oooku,7.43
Oshi ga Budoukan Ittekuretara Shinu,7.43
Otome Youkai Zakuro,7.43
Piano no Mori (TV) 2nd Season,7.43
Pokemon Evolutions,7.43
Rakudai Kishi no Cavalry,7.43
Saihate no Paladin: Tetsusabi no Yama no Ou,7.43
Samurai 7,7.43
Ajin Part 1: Shoudou,7.43
Ansatsu Kyoushitsu: Deai no Jikan,7.43
Bleach Movie 1: Memories of Nobody,7.43
Boku no Hero Academia the Movie 3: World Heroes' Mission - Tabidachi,7.43
Chouyaku Hyakuninisshu: Uta Koi.,7.43
Crayon Shin-chan Movie 22: Gachinko! Gyakushuu no Robo To-chan,7.43
Darker than Black: Ryuusei no Gemini,7.43
Digimon Adventure tri. 1: Saikai,7.43
Doraemon Movie 34: Shin Nobita no Daimakyou - Peko to 5-nin no Tankentai,7.43
Edens Zero 2nd Season,7.43
Haiyore! Nyaruko-san F,7.43
Hetalia World Series Specials,7.43
Houkago Teibou Nisshi,7.43
Shingeki no Bahamut: Virgin Soul,7.43
Sora no Otoshimono Forte,7.43
"Tamayura: More Aggressive - Tsuitachi dake no Shuugakuryokou, nanode",7.43
Tegamibachi: Hikari to Ao no Gensou Yawa,7.43
Tennis no Oujisama: Atobe kara no Okurimono - Kimi ni Sasageru Tennis Prince Matsuri,7.43
To LOVE-Ru Darkness 2nd,7.43
Toradora! Recap,7.43
Toradora!: Bentou no Gokui,7.43
Toshokan Sensou,7.43
Tsurune Movie: Hajimari no Issha,7.43
Uchuu no Kishi Tekkaman Blade,7.43
Yoru no Kuni,7.43
Yowamushi Pedal: Re:Road,7.43
Shonan Junai Gumi!,7.42
Shugo Chara!! Doki,7.42
Simoun,7.42
SSSS.Dynazenon,7.42
Steins;Gate: Soumei Eichi no Cognitive Computing,7.42
Tenchi Muyou!,7.42
Tennis no Oujisama Movie 2: Eikokushiki Teikyuu Shiro Kessen!,7.42
Tenshi na Konamaiki,7.42
Tiger & Bunny 2,7.42
To LOVE-Ru Darkness,7.42
Tonikaku Kawaii: Kaisou,7.42
Tsugu Tsugumomo,7.42
Yaoguai Mingdan 2nd Season,7.42
Yokohama Kaidashi Kikou,7.42
Zero no Tsukaima F,7.42
Kiratto Pri☆chan Season 2,7.42
"Kore wa Zombie desu ka? of the Dead: Hai, Minotake ni Attemasu",7.42
Mardock Scramble: The First Compression,7.42
Meng Qi Shi Shen: Zaijie Liangyuan,7.42
Mondaiji-tachi ga Isekai kara Kuru Sou desu yo?,7.42
Mugen no Juunin: Immortal,7.42
Naruto: Shippuuden Movie 4 - The Lost Tower,7.42
