Title,Score
Mo Dao Zu Shi: Xian Yun Pian,8.46
Nichijou,8.46
Owarimonogatari,8.45
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,8.45
Zoku Owarimonogatari,8.44
"""Oshi no Ko"" 2nd Season",8.44
Bungou Stray Dogs 4th Season,8.44
Golden Kamuy 3rd Season,8.44
Haikyuu!!,8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,8.44
Jujutsu Kaisen 0 Movie,8.44
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,8.43
Mushishi Zoku Shou: Odoro no Michi,8.43
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,8.43
Wu Liuqi: Xuanwu Guo Pian,8.43
Gintama: Yorinuki Gintama-san on Theater 2D,8.43
Grand Blue,8.43
Hunter x Hunter,8.42
Kono Oto Tomare! Part 2,8.42
Kono Subarashii Sekai ni Shukufuku wo! 3,8.42
Koukaku Kidoutai: Stand Alone Complex,8.42
Mononoke,8.42
Saenai Heroine no Sodatekata Fine,8.42
Shingeki no Kyojin: Kuinaki Sentaku,8.42
Tian Guan Cifu,8.42
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,8.41
Yuru Camp△ Movie,8.41
Natsume Yuujinchou Movie: Utsusemi ni Musubu,8.41
Saiki Kusuo no Ψ-nan,8.41
Saiki Kusuo no Ψ-nan 2,8.41
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,8.4
Kamisama Hajimemashita: Kako-hen,8.4
Karakai Jouzu no Takagi-san 3,8.4
Major S5,8.4
Natsume Yuujinchou Roku Specials,8.4
Fruits Basket: Prelude,8.4
Gintama°: Aizome Kaori-hen,8.39
Houseki no Kuni,8.39
Josee to Tora to Sakana-tachi,8.39
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,8.39
Vivy: Fluorite Eye's Song,8.39
Chihayafuru 2,8.38
Cowboy Bebop: Tengoku no Tobira,8.38
Doupo Cangqiong: Nian Fan,8.38
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),8.38
Kaze ga Tsuyoku Fuiteiru,8.38
Made in Abyss Movie 2: Hourou Suru Tasogare,8.37
Mahou Shoujo Madoka★Magica,8.37
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,8.37
Mushoku Tensei: Isekai Ittara Honki Dasu,8.37
Non Non Biyori Nonstop,8.37
Ramayana: The Legend of Prince Rama,8.37
Tensei shitara Slime Datta Ken 2nd Season,8.37
3-gatsu no Lion,8.37
Barakamon,8.37
Blue Giant,8.37
Cross Game,8.37
Baccano!,8.36
Haikyuu!! To the Top,8.36
Kimetsu no Yaiba: Mugen Ressha-hen,8.36
Kizumonogatari I: Tekketsu-hen,8.36
Wu Shan Wu Xing: Xichuan Huan Zi Lin,8.36
Shinseiki Evangelion,8.35
Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,8.35
Gintama: Shiroyasha Koutan,8.35
Hellsing Ultimate,8.35
Initial D First Stage,8.35
K-On! Movie,8.35
Kage no Jitsuryokusha ni Naritakute! 2nd Season,8.35
Kaijuu 8-gou,8.35
Kaze no Tani no Nausicaä,8.35
Meitantei Conan Movie 26: Kurogane no Submarine,8.35
Tunshi Xingkong 3rd Season,8.34
Usagi Drop,8.34
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",8.34
Bakuman. 2nd Season,8.34
Fumetsu no Anata e,8.34
Girls & Panzer: Saishuushou Part 4,8.34
Dr. Stone: New World Part 2,8.33
IDOLiSH7 Third Beat! Part 2,8.33
Kidou Senshi Gundam: The Origin,8.33
Kiseijuu: Sei no Kakuritsu,8.33
Natsume Yuujinchou: Itsuka Yuki no Hi ni,8.33
One Outs,8.33
Psycho-Pass,8.33
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season,8.33
Versailles no Bara,8.33
Tensei shitara Slime Datta Ken 2nd Season Part 2,8.32
Uchuu Senkan Yamato 2199,8.32
Bakemonogatari,8.32
Douluo Dalu 2nd Season,8.32
Fate/stay night: Unlimited Blade Works 2nd Season,8.32
Hibike! Euphonium 2,8.32
Major S6,8.32
Romeo no Aoi Sora,8.32
Kingdom 2nd Season,8.31
Luo Xiao Hei Zhan Ji (Movie),8.31
Natsume Yuujinchou,8.31
Natsume Yuujinchou Go Specials,8.31
NHK ni Youkoso!,8.31
Ookami to Koushinryou II,8.31
Sasaki to Miyano Movie: Sotsugyou-hen,8.31
Seishun Buta Yarou wa Randoseru Girl no Yume wo Minai,8.31
Ginga Eiyuu Densetsu: Die Neue These - Gekitotsu,8.31
Given,8.31
Hunter x Hunter: Original Video Animation,8.31
86,8.3
Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,8.3
Ashita no Joe,8.3
Boku dake ga Inai Machi,8.3
Diamond no Ace: Second Season,8.3
Evangelion Movie 2: Ha,8.3
Ginga Eiyuu Densetsu: Die Neue These - Sakubou,8.3
Katanagatari,8.3
Kemono no Souja Erin,8.3
Ore dake Level Up na Ken,8.3
Sakamichi no Apollon,8.3
Kuroko no Basket 3rd Season,8.29
Meitantei Conan Movie 06: Baker Street no Bourei,8.29
Steins;Gate: Oukoubakko no Poriomania,8.29
Suzume no Tojimari,8.29
Violet Evergarden: Recollections,8.29
Beck,8.29
Initial D Final Stage,8.29
Boku no Hero Academia 6th Season,8.28
Doukyuusei (Movie),8.28
Gintama: Shinyaku Benizakura-hen,8.28
Hotarubi no Mori e,8.28
Kage no Jitsuryokusha ni Naritakute!,8.28
Kino no Tabi: The Beautiful World,8.28
Major: World Series,8.28
Redline,8.28
Rurouni Kenshin: Meiji Kenkaku Romantan,8.28
Tokyo Godfathers,8.28
Tunshi Xingkong 2nd Season,8.28
Yuukoku no Moriarty Part 2,8.28
Shirobako,8.27
Tenki no Ko,8.27
Tsubasa: Tokyo Revelations,8.27
Yuru Camp△,8.27
Diamond no Ace: Act II,8.27
Dr. Stone,8.27
Fate/Zero,8.27
Gin no Saji 2nd Season,8.27
Ginga Eiyuu Densetsu: Die Neue These - Seiran 3,8.27
Koukaku Kidoutai,8.27
Naruto: Shippuuden,8.27
Nodame Cantabile,8.26
Shinsekai yori,8.26
Space☆Dandy 2nd Season,8.26
Steins;Gate: Kyoukaimenjou no Missing Link - Divide By Zero,8.26
Tenkuu no Shiro Laputa,8.26
Blue Lock,8.26
Gyakkyou Burai Kaiji: Ultimate Survivor,8.26
Hajime no Ippo: Champion Road,8.26
Boku no Kokoro no Yabai Yatsu,8.25
Dororo,8.25
Hunter x Hunter: Greed Island Final,8.25
Kobayashi-san Chi no Maid Dragon S,8.25
Kono Subarashii Sekai ni Shukufuku wo! 2,8.25
Kuroshitsuji Movie: Book of the Atlantic,8.25
Mushoku Tensei II: Isekai Ittara Honki Dasu,8.25
Planetes,8.25
Spy x Family Part 2,8.25
Stranger: Mukou Hadan,8.25
Tonari no Totoro,8.25
World Trigger 3rd Season,8.25
Tanoshii Muumin Ikka,8.24
Yubisaki to Renren,8.24
Bakemono no Ko,8.24
Doraemon Movie 31: Shin Nobita to Tetsujin Heidan - Habatake Tenshi-tachi,8.24
Golden Kamuy 2nd Season,8.24
Gyakkyou Burai Kaiji: Hakairoku-hen,8.24
Hajime no Ippo: Mashiba vs. Kimura,8.24
Meitantei Conan: Episode One - Chiisaku Natta Meitantei,8.24
Non Non Biyori Movie: Vacation,8.24
Sennen Joyuu,8.24
Kidou Senshi Gundam: Tekketsu no Orphans 2nd Season,8.23
Kimetsu no Yaiba: Katanakaji no Sato-hen,8.23
Nodame Cantabile Finale,8.23
Re:Zero kara Hajimeru Isekai Seikatsu,8.23
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8.23
Wu Liuqi: Zui Qiang Fa Xing Shi,8.23
Youjo Senki Movie,8.23
Danshi Koukousei no Nichijou,8.23
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka IV: Fuka Shou - Yakusai-hen,8.23
Fairy Tail: 100-nen Quest,8.23
Haikyuu!! Movie 4: Concept no Tatakai,8.23
IDOLiSH7 Third Beat!,8.23
Doupo Cangqiong 4th Season,8.22
Kamisama Hajimemashita◎,8.22
Kimetsu no Yaiba: Hashira Geiko-hen,8.22
Kono Sekai no Katasumi ni,8.22
Mahou Shoujo Madoka★Magica Movie 1: Hajimari no Monogatari,8.22
Majo no Takkyuubin,8.22
Major S3,8.22
Mimi wo Sumaseba,8.22
Ookami to Koushinryou,8.22
Sasaki to Miyano,8.22
Shen Yin Wangzuo 2nd Season,8.22
